player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Jamarco Jones,46226,T,OHIO STATE,5,100.0,0,260,56.0,39.4,57.3,1,0,16,100.0,100.0,96.9,0,1,0,83,0,0,83,83,16,16,0,0,67,0
Chukwuma Okorafor,46302,T,W MICHIGAN,12,100.0,0,347,60.3,54.1,59.7,0,0,9,100.0,100.0,100.0,0,0,0,82,0,0,0,82,11,11,0,81,71,1
Josh Robinson,18332,T,LA TECH,12,100.0,0,208,71.4,74.2,68.6,1,0,19,100.0,100.0,97.4,0,1,0,80,0,33,7,80,19,19,0,8,61,32
Braden Smith,46794,T,AUBURN,8,100.0,1,115,72.7,83.3,67.7,0,0,14,100.0,100.0,100.0,1,0,0,64,0,0,40,64,14,14,0,0,50,24
Mike McGlinchey,46275,T,NOTRE DAME,5,100.0,0,258,54.4,32.8,61.3,0,3,23,100.0,100.0,89.1,0,4,1,48,0,0,12,48,24,24,0,35,24,1
Sam Tevi,11945,T,UTAH,3,100.0,0,328,56.2,83.7,50.4,0,0,14,100.0,100.0,100.0,0,0,0,42,0,0,0,42,14,14,0,41,28,1
Korey Cunningham,38555,T,CINCINNATI,3,100.0,0,138,70.6,76.2,67.9,0,0,4,100.0,100.0,100.0,0,0,0,32,0,0,32,32,4,4,0,0,28,0
Christian Westerman,10795,G,ARIZONA ST,12,100.0,0,110,81.1,85.0,78.8,5,9,536,100.0,100.0,98.5,0,15,1,1006,0,1006,0,1006,553,553,0,0,453,0
Cole Madison,46953,T,WASH STATE,12,100.0,0,341,78.3,83.9,69.4,3,26,748,100.0,100.0,97.5,6,33,4,982,0,0,0,982,771,771,0,982,211,0
Jason Spriggs,10682,T,INDIANA,12,100.0,1,190,85.1,83.1,80.9,3,6,439,100.0,100.0,98.3,2,12,3,976,0,0,975,976,455,455,0,0,521,1
Dan Feeney,11826,G,INDIANA,12,100.0,1,190,86.6,85.8,86.0,1,5,438,100.0,100.0,99.3,4,6,0,972,0,0,0,972,454,454,972,0,518,0
Le'Raven Clark,10716,T,TEXAS TECH,12,100.0,1,315,90.6,88.3,89.7,1,14,575,100.2,100.2,98.3,6,17,2,945,0,0,924,945,604,603,0,0,341,18
Parker Ehinger,10739,T,CINCINNATI,12,100.0,0,138,77.8,78.5,75.4,8,13,526,100.0,100.0,97.4,5,24,3,942,0,0,941,942,558,558,0,0,384,0
Orlando Brown Jr.,46227,T,OKLAHOMA,12,100.0,1,261,77.1,78.4,79.3,1,12,472,100.0,100.0,97.8,11,17,4,930,0,0,930,930,492,492,0,0,438,0
Spencer Drango,10802,T,BAYLOR,12,100.0,1,118,91.9,88.1,91.0,2,4,381,100.0,100.0,99.2,6,6,0,927,0,0,868,927,406,406,0,0,521,59
Caleb Benenoch,10782,T,UCLA,12,100.0,2,324,78.0,72.4,87.0,7,21,486,100.0,100.0,96.7,12,30,2,926,0,0,0,926,514,514,311,615,412,0
Kyle Fuller,11998,C,BAYLOR,12,100.0,0,118,80.0,82.5,79.5,1,3,373,100.0,100.0,98.9,5,6,2,911,911,0,0,911,398,398,0,0,513,0
