player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Stone Earle,123504,QB,N TEXAS,3,62.5,40,40,13.0,2.98,0,2,4.8,55.0,22,0,17,12.0,50,3,13,251,26.8,66.9,58.9,72.4,0,4,53,0,23.5,70.2,8.0,4,6,0,0,4,5,9.4,274,6.9
Jacob Conover,70963,QB,ARIZONA ST,3,40.6,32,38,15.4,2.83,3,1,2.6,28.9,11,0,17,15.4,45,2,6,110,70.6,33.6,37.8,49.8,0,3,46,2,29.4,8.4,11.1,5,2,0,3,0,3,6.5,130,3.4
Bert Emanuel Jr.,158581,QB,C MICHIGAN,3,65.7,35,37,13.1,3.51,1,4,10.3,51.4,19,0,25,17.4,57,4,15,134,77.5,77.7,69.1,73.9,0,3,60,1,28.0,70.3,12.3,7,13,0,1,3,3,5.0,286,7.7
Grayson James,145214,QB,FIU,3,67.6,34,37,11.7,2.68,0,1,2.5,51.4,19,0,17,17.4,46,4,9,166,55.8,57.5,54.9,61.4,1,1,49,0,35.3,66.9,13.0,6,3,0,2,1,0,0.0,216,5.8
Cole Ballard,173062,QB,KANSAS,2,69.7,33,36,10.0,3.1,0,2,5.1,55.6,20,0,19,13.0,50,3,15,198,45.1,54.6,58.0,51.6,2,3,54,0,26.3,56.0,10.0,5,9,0,1,1,4,7.4,286,7.9
Evan Svoboda,157664,QB,WYOMING,4,72.7,33,36,6.8,2.82,1,1,2.6,61.1,22,0,11,8.3,39,2,10,351,75.3,50.0,40.3,64.2,1,1,41,0,18.2,62.7,5.1,2,1,0,1,0,3,7.3,184,5.1
Ethan Crawford,173571,QB,SO MISS,5,54.5,33,36,11.3,3.53,2,1,2.6,47.2,17,0,29,5.6,52,1,14,296,57.1,62.9,45.7,73.9,0,0,56,0,31.0,97.3,17.3,9,7,0,1,3,2,3.6,243,6.8
Joe Fagnano,104768,QB,UCONN,2,64.7,34,35,10.2,2.67,0,0,0.0,51.4,18,0,16,18.2,43,4,8,146,72.6,53.0,48.0,64.7,0,1,46,0,25.0,53.6,9.3,4,3,0,1,0,3,6.5,173,4.9
Champ Harris,170979,QB,ARMY,5,60.6,33,35,13.5,3.03,0,1,2.8,54.3,19,0,23,5.0,48,1,13,114,19.0,38.0,43.1,44.9,0,4,49,1,30.4,38.6,14.6,7,6,0,2,0,5,10.2,259,7.4
Aidan Chiles,173727,QB,OREGON ST,9,73.5,34,35,10.8,2.56,1,2,5.4,68.6,24,0,10,4.0,42,1,15,265,46.3,71.9,65.8,73.0,0,0,44,1,40.0,134.1,9.5,4,3,0,0,4,1,2.3,309,8.8
